0,1,2,3,4,5,6,7,8,9
Provean_score,EL2_score,Matrix_score,electrostatics_mut,Final_ddG,Interactor_alignment_score,Solvent_accessibility_mut,Model/DOPE_score,van_der_waals_mut,pcv_vdW_self_wt
Provean_score,EL2_score,Final_ddG,solvation_polar_wt,entropy_mainchain_wt,sidechain_hbond_mut,Solvent_accessibility_mut,Solvent_accessibility_wt,van_der_waals_mut,Model/DOPE_score
EL2_score,Final_ddG,Provean_score,Interface_contact_distance_mut,Interface_contact_distance_wt,entropy_sidechain_wt,Solvent_accessibility_mut,entropy_sidechain_mut,pcv_vdW_wt,Interactor_alignment_score
EL2_score,Provean_score,Final_ddG,Interface_contact_distance_mut,entropy_sidechain_mut,Interactor_template_sequence_identity,van_der_waals_mut,Interface_contact_distance_wt,sidechain_hbond_wt,Model/DOPE_score
EL2_score,Provean_score,Final_ddG,sidechain_hbond_mut,Solvent_accessibility_wt,Matrix_score,entropy_sidechain_mut,entropy_sidechain_wt,sidechain_hbond_wt,Interactor_template_sequence_identity
Final_ddG,EL2_score,Provean_score,solvation_polar_mut,solvation_polar_wt,torsional_clash_mut,Interface_contact_distance_wt,Solvent_accessibility_wt,Matrix_score,Interface_contact_distance_mut
EL2_score,Provean_score,Final_ddG,Matrix_score,electrostatics_mut,Model/DOPE_score,backbone_clash_mut,Interactor_alignment_score,Solvent_accessibility_wt,Interactor_template_sequence_identity
EL2_score,Provean_score,Final_ddG,Solvent_accessibility_mut,pcv_vdW_self_wt,Interactor_template_sequence_identity,Solvent_accessibility_wt,Interactor_alignment_score,Matrix_score,ProteinSolver_score
Provean_score,EL2_score,Final_ddG,Matrix_score,ProteinSolver_score,Solvent_accessibility_wt,Solvent_accessibility_mut,Interface_contact_distance_wt,IntraclashesEnergy1_mut,pcv_vdW_self_wt
EL2_score,Final_ddG,Provean_score,Interactor_alignment_score,Matrix_score,Interactor_template_sequence_identity,van_der_waals_mut,Model/DOPE_score,solvation_polar_wt,Interface_contact_distance_mut
